,rating,num_beds,num_bath,property_type,price,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,price_range
4107,4.84,1.0,1.0,Hotel,292,Near North Side,41.89366,-87.63106,Private room,1,0.08,$100 - $300
4108,4.84,1.0,1.0,Rental,121,Near South Side,41.8634989,-87.62704269999999,Entire home/apt,0,1.59,$100 - $300
4109,4.83,3.0,1.0,Rental,94,Washington Park,41.78733,-87.62529,Entire home/apt,24,2.7,<$100
4110,4.78,1.0,1.0,Guest,77,Washington Heights,41.71068,-87.63583,Entire home/apt,49,2.37,<$100
4111,5.0,2.0,2.0,Condo,155,Near North Side,41.89598,-87.62595,Entire home/apt,6,0.29,$100 - $300
4112,4.63,1.0,1.0,Rental,66,Brighton Park,41.81815,-87.68712,Entire home/apt,19,3.93,<$100
4113,4.83,1.0,1.0,Condo,103,Uptown,41.97011,-87.66005,Entire home/apt,109,4.55,$100 - $300
4114,4.84,1.0,1.0,Rental,99,Uptown,41.97079,-87.66181,Entire home/apt,115,4.81,<$100
4115,4.84,1.0,1.0,Rental,104,Uptown,41.97012,-87.66138,Entire home/apt,94,3.93,$100 - $300
4116,4.84,1.0,1.0,Rental,290,Loop,41.8683,-87.6274,Entire home/apt,0,1.59,$100 - $300
4117,4.98,1.0,1.0,Rental,197,Near West Side,41.86965,-87.66415,Entire home/apt,66,2.9,$100 - $300
4118,4.91,3.0,2.0,Rental,193,Jefferson Park,41.97038,-87.7828,Entire home/apt,23,1.14,$100 - $300
4119,4.84,2.0,2.0,Rental,219,Near West Side,41.87501,-87.68678,Entire home/apt,1,0.09,$100 - $300
4120,4.84,2.0,2.0,Rental,146,Lake View,41.941626,-87.6525329,Entire home/apt,1,0.05,$100 - $300
4121,4.4,1.0,1.0,Condo,89,Rogers Park,42.01137,-87.66289,Entire home/apt,45,1.93,<$100
4122,4.98,3.0,1.0,Rental,440,Lincoln Park,41.92969,-87.6504,Entire home/apt,55,2.5,>$300
4123,4.84,3.0,2.0,Rental,100,Near South Side,41.86276,-87.62293,Entire home/apt,0,1.59,$100 - $300
4124,4.78,2.0,2.0,Rental,132,West Town,41.894903,-87.666413,Entire home/apt,9,0.45,$100 - $300
